env_mean,skewness,autocorr_peak,freq_centroid,mod_bandwidth,cumulant_c42,freq_hop_entropy,sparse_tf_peak,wavelet_entropy,inst_freq_mean,tf_sparsity,class
3.127767931127933,-0.006424366,0.0999806342560087,10654063.09232195,40000000,5.875694140861924,6.925089,1.5525631,83.60827350616455,10532173.486986518,873.2164664022615,0
3.092533973226175,0.004574562068393,0.1252554254653803,10669336.68834295,40000000,1.1171981227209926,6.921156,1.147019,83.61149024963379,10537644.46723749,872.4975953652216,0
3.089871195050962,0.0029925588499273,0.1355341460393248,10680664.967144066,40000000,1.1771745130256477,6.9175825,1.1908654,83.60711765289307,10542787.96809288,871.8541651300509,0
3.10632493439028,0.0066151588982808,0.1400809167661379,10706054.925916877,40000000,2.120133293118897,6.9155645,1.2024496,83.60303592681885,10557203.302792097,870.3214156159897,0
3.128586933662518,0.001548093464167,0.1502577400175641,10746518.590899102,40000000,3.257559064802308,6.910035,1.2661021,83.5957384109497,10576449.98186835,868.23119277059,0
3.1273641360076723,-0.000306576,0.150155099337622,10740577.31693306,40000000,2.9010013670097123,6.9102564,1.1330078,83.59740543365479,10577774.236008134,868.9053711804779,0
3.2827902185704323,0.0126436058256191,0.206525566481665,10788740.238792809,31627906.976744182,189.9857959793881,6.568144,7.0900035,83.45000743865967,10591370.26501652,797.3409555751265,0
3.425530371322537,0.0215636333826116,0.2893918326473271,10817315.80803344,16434108.527131785,355.9629272654465,6.1903667,7.135659,83.33512687683105,10592821.40431611,747.2149060559419,0
3.4011439355049933,0.0232231726579422,0.2942364721442509,10786321.99616038,16124031.007751938,356.5322738843652,6.1786084,7.1631866,83.3411054611206,10560103.394508488,747.1693127364132,0
3.452460989494893,0.0232773487893115,0.288803870235697,10865212.367131315,17984496.124031007,376.132245355886,6.2115116,7.1882296,83.30251598358154,10585333.648627536,741.1302379150818,0
3.3065354409274166,0.0129033570428725,0.1898294132176601,10864529.29122012,33798449.6124031,209.0424634019812,6.618695,7.275043,83.41241455078125,10579371.552832248,791.1931007949102,0
3.181041307752031,-0.003536089,0.1793362993346444,10898326.810172291,40000000,50.409035398629385,6.8817105,2.474847,83.52287101745605,10585607.777042784,846.3338823732768,0
3.242826348187712,-0.000105533,0.1993510061241614,11030294.51558064,40000000,79.76776151493073,6.8509727,2.322111,83.47330379486084,10628700.720835682,833.7369907551657,0
3.1831855323956346,-0.003361351,0.1777242839688994,10930865.373095274,40000000,55.84051053216172,6.880353,2.2110145,83.51385593414307,10597097.375804586,845.3450485549696,0
3.207882174518096,-0.009012148,0.187982173286897,10979877.821814518,40000000,66.66992819761549,6.866994,2.3469567,83.4935531616211,10609478.033432016,839.5898546791778,0
3.227956293723685,-0.004791947,0.1964530998123421,11030710.037192358,40000000,76.40596756139644,6.854595,2.4015458,83.47601222991943,10631130.70951659,834.9848294533377,0
3.4187542790962504,-0.029913387,0.2542984406637124,10918262.990307614,26356589.14728682,262.98013665846975,6.375152,6.432966,83.32051944732666,10605249.53539181,756.2482083856607,0
3.416948256993965,-0.029633356,0.2556708520485721,10922071.028567422,26046511.62790697,263.21549060953566,6.3740425,6.5304523,83.32163429260254,10608389.15510336,756.2850470453162,0
3.370332324596856,-0.024861313,0.2543605134870701,10852320.50328098,25426356.589147285,247.17254630803384,6.356173,6.5875654,83.35160064697266,10577823.225617254,761.8774179668918,0
3.3178456128679623,-0.029094848,0.2706533257254646,10750722.33683718,24806201.550387595,224.84394283387883,6.3253236,6.549135,83.39420509338379,10536504.832699044,769.4087541838948,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
